country,installs,roas_d0,roas_d1,roas_d2,roas_d3,roas_d4,roas_d5,roas_d6,roas_d7,roas_d10,roas_d14,roas_d18,roas_d21,roas_d24
United Kingdom,398,0.1932,0.2306,0.2417,0.2475,0.2546,0.2593,0.2644,0.2685,0.3007,0.3302,0.3341,0.3371,0.3376
India,269,0.1973,0.2501,0.2885,0.3124,0.3346,0.3477,0.3692,0.386,0.4171,0.4362,0.4402,0.4411,0.4421
Japan,93,0.0716,0.0808,0.086,0.0888,0.0912,0.0925,0.0925,0.0927,0.0999,0.1027,0.1051,0.1051,0.1051
Australia,83,0.1842,0.2063,0.2446,0.2511,0.2631,0.2792,0.299,0.3084,0.3157,0.3414,0.3723,0.3723,0.3723
Canada,77,0.1718,0.1881,0.1928,0.1978,0.1985,0.207,0.2084,0.2101,0.223,0.2327,0.2358,0.2361,0.2361
Italy,46,0.1003,0.1099,0.1216,0.1334,0.1334,0.1364,0.1364,0.1367,0.1367,0.1367,0.1367,0.1367,0.1367
United Arab Emirates,15,0.0443,0.0443,0.0444,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535,0.0535
France,6,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616,0.2616
Germany,4,1.5212,2.1671,3.1158,3.3808,3.5917,4.2671,4.8771,4.8771,6.7279,7.9242,8.8579,9.0488,9.0488
South Korea,4,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595,0.2595
Singapore,3,0.229,0.229,0.2333,0.2333,0.2333,0.2343,0.2343,0.2343,0.2343,0.2343,0.2343,0.2343,0.2343
Iraq,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,1,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
Spain,1,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
